quantity_gwh;country_key;year_key;flow_type_key;source_type_key
983767;35;13;;6
108322982;35;13;;7
2492677;35;13;;8
4559;35;13;;1
149633123;35;13;;9
2181675;35;13;4;0
981493;35;13;5;0
3211448;35;13;;0
31497917;35;13;;0
241814004;35;13;;0
3508886201;36;13;;0
688640346;36;13;;12
2102003556;36;13;;1
591753363;36;13;;2
22810575;36;13;;3
1438913468;36;13;;4
41088668;36;13;;5
7437482;36;13;;1
198781424;36;13;;6
384314917;36;13;;7
11996205;36;13;;8
13814946;36;13;;10
1368962;36;13;;11
757962005;36;13;;9
32512811;36;13;4;0
6804109;36;13;5;0
19165494;36;13;;0
249473575;36;13;;0
3265955834;36;13;;0
107769242;37;13;;0
10867583;37;13;;12
56844073;37;13;;1
2283;37;13;;2
2869277;37;13;;3
52102877;37;13;;4
1849089;37;13;;5
24201461;37;13;;6
1214143;37;13;;7
3714694;37;13;;8
41906674;37;13;;9
612013215;38;13;;0
11751712;38;13;;12
102494154;38;13;;1
1259406;38;13;;2
9391877;38;13;;3
45181832;38;13;;4
33927056;38;13;;5
1399328;38;13;;1
366887958;38;13;;6
8141436;38;13;;7
49465032;38;13;;8
531694405;38;13;;9
34298249;39;13;;0
15046512;39;13;;12
13885624;39;13;;1
10374426;39;13;;2
195579;39;13;;3
214302;39;13;;4
11726;39;13;;5
1979092;39;13;;6
1740109;39;13;;7
1628031;39;13;;8
18881;39;13;;11
6519832;39;13;;9
8446696596;40;13;;0
357775413;40;13;;12
5864723465;40;13;;1
5415187835;40;13;;2
11401956;40;13;;3
26785685;40;13;;4
163630588;40;13;;5
6646236;40;13;;1
841956893;40;13;;6
989570694;40;13;;7
392565622;40;13;;8
93919;40;13;;10
10592;40;13;;1
2387828306;40;13;;9
15444241;41;13;;0
3936515;41;13;;1
356966;41;13;;2
117168;41;13;;3
2628578;41;13;;4
833803;41;13;;5
8772201;41;13;;6
2427066;41;13;;7
308459;41;13;;8
1234153;41;13;;9
3897254;42;13;;0
3112724;42;13;;1
3083911;42;13;;3
28813;42;13;;5
15372;42;13;;7
63081;42;13;;8
813343;42;13;;9
1415495236;43;13;;0
40202014;43;13;;12
1159569445;43;13;;1
1056154092;43;13;;2
549778;43;13;;3
5164771;43;13;;4
44799516;43;13;;5
1470348;43;13;;1
67164527;43;13;;6
57804424;43;13;;7
90754826;43;13;;8
260523293;43;13;;9
1343419;44;13;;0
1251551;44;13;;1
1386;44;13;;3
1250165;44;13;;4
91868;44;13;;8
91868;44;13;;9
530985;45;13;;0
3282229;45;13;;1
2467788;45;13;;2
79746;45;13;;3
676922;45;13;;4
57773;45;13;;5
1675561;45;13;;6
166289;45;13;;7
18577;45;13;;8
2085394;45;13;;9
5245049;46;13;;0
16275694;46;13;;1
203389;46;13;;2
216563;46;13;;3
15424616;46;13;;4
431126;46;13;;5
32517906;46;13;;6
2520476;46;13;;7
1136414;46;13;;8
36605921;46;13;;9
37717033;47;13;;0
21370302;47;13;;1
19606422;47;13;;2
5924;47;13;;3
1519354;47;13;;4
234631;47;13;;5
3972;47;13;;1
15160018;47;13;;6
1159823;47;13;;7
2689;47;13;;8
16581362;47;13;;9
210151401;0;13;;0
125984752;0;13;;1
89877615;0;13;;2
2884956;0;13;;3
30807584;0;13;;4
2414597;0;13;;5
11422424;0;13;;6
23755058;0;13;;7
48989167;0;13;;8
86581245;0;13;;9
561025;0;13;;0
9215341;0;13;;0
200375034;0;13;;0
62536453;1;13;;0
15085139;1;13;;1
1543533;1;13;;2
67136;1;13;;3
8102721;1;13;;4
411382;1;13;;5
653706;1;13;;1
37556623;1;13;;6
8929906;1;13;;7
953525;1;13;;8
25;1;13;;10
11236;1;13;;11
51553899;1;13;;9
16468818;1;13;4;0
18548747;1;13;5;0
4537121;1;13;;0
2736563;1;13;;0
5318284;1;13;;0
65423624;2;13;;0
28350274;2;13;;12
14821121;2;13;;1
14582;2;13;;2
61073;2;13;;3
11750107;2;13;;4
2247808;2;13;;5
747551;2;13;;1
16089;2;13;;6
18430077;2;13;;7
2038206;2;13;;8
175045;2;13;;11
2432499;2;13;;9
16363707;2;13;4;0
135727;2;13;5;0
1541982;2;13;;0
2758656;2;13;;0
63913993;2;13;;0
52490154;3;13;;0
68828069;3;13;;12
109174699;3;13;;1
29785136;3;13;;2
3701526;3;13;;3
66818554;3;13;;4
8757079;3;13;;5
112403;3;13;;1
297859133;3;13;;6
44370281;3;13;;7
4326026;3;13;;8
343333;3;13;;11
355312518;3;13;;9
2190511;3;13;4;0
3162392;3;13;5;0
165008;3;13;;0
28696753;3;13;;0
48632097;3;13;;0
7261372;4;13;;0
18170908;4;13;;1
893924;4;13;;2
176503;4;13;;3
537271;4;13;;4
3682455;4;13;;5
30705198;4;13;;6
8979546;4;13;;7
14342718;4;13;;8
415351;4;13;;10
58125267;4;13;;9
3488675;4;13;;0
69125045;4;13;;0
73257009;5;13;;0
26760382;5;13;;1
7893141;5;13;;2
4025194;5;13;;3
13027918;5;13;;4
181413;5;13;;5
45984831;5;13;;6
511796;5;13;;8
48310756;5;13;;9
1075;5;13;4;0
1400235;5;13;5;0
3948563;5;13;;0
67909286;5;13;;0
;6;13;6;1
10412975;6;13;;0
4076;6;13;;1
3157;6;13;;3
919;6;13;;5
8579155;6;13;;6
938975;6;13;;7
59772;6;13;;8
830997;6;13;;10
10409817;6;13;;9
10412975;6;13;;0
63675453;7;13;;0
25134328;7;13;;12
34087594;7;13;;1
27333513;7;13;;2
76491;7;13;;3
2598786;7;13;;4
3985055;7;13;;5
93748;7;13;;1
2846996;7;13;;6
788929;7;13;;7
715844;7;13;;8
101762;7;13;;11
8336823;7;13;;9
11747703;7;13;4;0
20813547;7;13;5;0
1289526;7;13;;0
2812841;7;13;;0
50507242;7;13;;0
28385639;8;13;;0
10969241;8;13;;1
1593158;8;13;;2
186455;8;13;;3
103583;8;13;;4
7595878;8;13;;5
55792;8;13;;1
2475;8;13;;6
16862176;8;13;;7
529472;8;13;;8
25012276;8;13;;9
15531575;8;13;4;0
9359839;8;13;5;0
3682241;8;13;;0
30875134;8;13;;0
412459;9;13;;0
3565498;9;13;;1
243125;9;13;;2
21353;9;13;;3
2419;9;13;;4
1034798;9;13;;5
53907;9;13;;1
36316;9;13;;6
480045;9;13;;7
42732;9;13;;8
1593891;9;13;;9
6819477;9;13;4;0
3270282;9;13;5;0
37478;9;13;;0
7299006;9;13;;0
74045146;10;13;;0
29563441;10;13;;12
16609254;10;13;;1
3343937;10;13;;2
122387;10;13;;3
729607;10;13;;4
12004099;10;13;;5
409223;10;13;;1
14002105;10;13;;6
13647441;10;13;;7
47071;10;13;;8
175833;10;13;;11
39700717;10;13;;9
11175224;10;13;4;0
6938521;10;13;5;0
3176342;10;13;;0
75105507;10;13;;0
462631768;11;13;;0
27580;11;13;;12
4441561;11;13;;1
2212352;11;13;;2
4819598;11;13;;3
28138704;11;13;;4
7490891;11;13;;5
1754064;11;13;;1
67438179;11;13;;6
64149984;11;13;;7
9913455;11;13;;8
79717;11;13;;10
398221;11;13;;1
436602;11;13;;11
